DD/MM/YYYY HH:MM:SS	light(lux)
24/07/2021 12:19:56	1.136
24/07/2021 12:24:56	1.136
24/07/2021 12:29:56	1.136
24/07/2021 12:34:56	1.136
24/07/2021 12:39:56	1309.295
24/07/2021 12:44:56	1.136
24/07/2021 12:49:56	1.136
24/07/2021 12:54:56	1.136
24/07/2021 12:59:56	1.136
24/07/2021 13:04:56	1.136
24/07/2021 13:09:56	1.136
24/07/2021 13:14:56	1.136
24/07/2021 13:19:56	1.136
24/07/2021 13:24:56	1.136
24/07/2021 13:29:56	1.136
24/07/2021 13:34:56	1.136
24/07/2021 13:39:56	1.136
24/07/2021 13:44:56	1.136
24/07/2021 13:49:56	1.136
24/07/2021 13:54:56	1.136
24/07/2021 13:59:56	1.136
24/07/2021 14:04:56	1.136
24/07/2021 14:09:56	1.136
24/07/2021 14:14:56	1.136
24/07/2021 14:19:56	1.136
24/07/2021 14:24:56	1.136
24/07/2021 14:29:56	1.136
24/07/2021 14:34:56	1.136
24/07/2021 14:39:56	1.136
24/07/2021 14:44:56	1.136
24/07/2021 14:49:56	1.136
24/07/2021 14:54:56	1.136
24/07/2021 14:59:56	1.136
24/07/2021 15:04:56	1.136
24/07/2021 15:09:56	1.136
24/07/2021 15:14:56	1.136
24/07/2021 15:19:56	1.136
24/07/2021 15:24:56	1.136
24/07/2021 15:29:56	1.136
24/07/2021 15:34:56	1.136
24/07/2021 15:39:56	1.136
24/07/2021 15:44:56	1.136
24/07/2021 15:49:56	1.136
24/07/2021 15:54:56	1.136
24/07/2021 15:59:56	1.136
24/07/2021 16:04:56	1.136
24/07/2021 16:09:56	1.136
24/07/2021 16:14:56	1.136
24/07/2021 16:19:56	1.136
24/07/2021 16:24:56	1.136
24/07/2021 16:29:56	1.136
24/07/2021 16:34:56	1.136
24/07/2021 16:39:56	1.136
24/07/2021 16:44:56	1.136
24/07/2021 16:49:56	1.136
24/07/2021 16:54:56	1.136
24/07/2021 16:59:56	1.136
24/07/2021 17:04:56	1.136
24/07/2021 17:09:56	1.136
24/07/2021 17:14:56	1.136
24/07/2021 17:19:56	1.136
24/07/2021 17:24:56	1.136
24/07/2021 17:29:56	1.136
24/07/2021 17:34:56	13.627
24/07/2021 17:39:56	1.136
24/07/2021 17:44:56	1.136
24/07/2021 17:49:56	1.136
24/07/2021 17:54:56	1.136
24/07/2021 17:59:56	1.136
24/07/2021 18:04:56	1.136
24/07/2021 18:09:56	1.136
24/07/2021 18:14:56	1.136
24/07/2021 18:19:56	1.136
24/07/2021 18:24:56	1.136
24/07/2021 18:29:56	1.136
24/07/2021 18:34:56	1.136
24/07/2021 18:39:56	1.136
24/07/2021 18:44:56	1.136
24/07/2021 18:49:56	1.136
24/07/2021 18:54:56	1.136
24/07/2021 18:59:56	1.136
24/07/2021 19:04:56	1.136
24/07/2021 19:09:56	1.136
24/07/2021 19:14:56	1.136
24/07/2021 19:19:56	1.136
24/07/2021 19:24:56	1.136
24/07/2021 19:29:56	1.136
24/07/2021 19:34:56	1.136
24/07/2021 19:39:56	1.136
24/07/2021 19:44:56	1.136
24/07/2021 19:49:56	1.136
24/07/2021 19:54:56	1.136
24/07/2021 19:59:56	1.136
24/07/2021 20:04:56	1.136
24/07/2021 20:09:56	1.136
24/07/2021 20:14:56	1.136
24/07/2021 20:19:56	1.136
24/07/2021 20:24:56	1.136
24/07/2021 20:29:56	1.136
24/07/2021 20:34:56	1.136
24/07/2021 20:39:56	1.136
24/07/2021 20:44:56	1.136
24/07/2021 20:49:56	1.136
24/07/2021 20:54:56	1.136
24/07/2021 20:59:56	1.136
24/07/2021 21:04:56	1.136
24/07/2021 21:09:56	1.136
24/07/2021 21:14:56	1.136
24/07/2021 21:19:56	1.136
24/07/2021 21:24:56	1.136
24/07/2021 21:29:56	1.136
24/07/2021 21:34:56	1.136
